,MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
2503,21225266,685000.0,85737,-110.984771,32.399009,2.24,6184.28,1987,5,3,3946.0,3,"Dishwasher, Microwave, Oven",2,"Carpet, Ceramic Tile, Natural Stone, Wood",0
2504,21229517,672000.0,85718,-110.919252,32.312193,0.92,5564.22,1995,4,3,3149.0,2,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,Mexican Tile,153
2505,21227265,690000.0,85715,-110.86633,32.262945,0.8,6324.19,1964,5,5,4481.0,4,"Dishwasher, Garbage Disposal, Refrigerator, Oven",2,"Carpet, Natural Stone",79
2506,21230803,619000.0,85718,-110.934931,32.338704,1.12,5366.57,1987,3,3,2880.0,2,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,Mexican Tile,111
2507,21302921,700000.0,85750,-110.858382,32.323827,1.04,4241.0,1990,4,3,2865.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Mexican Tile",37
2508,21304369,690000.0,85718,-110.942262,32.342562,1.01,7990.77,1999,3,3,3005.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Ceramic Tile, Wood",150
2509,21201308,644000.0,85718,-110.910237,32.319252,0.16,5635.0,2004,3,3,3638.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile, Natural Stone, Wood",145
2510,21228793,675000.0,85658,-111.062086,32.437033,1.4,11699.0,2008,3,3,3325.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,Natural Stone,144
2511,21231527,682080.0,85718,-110.932804,32.325786,1.0,4484.46,1989,4,3,3084.0,2,"Dishwasher, Garbage Disposal, Refrigerator, Oven",1,"Carpet, Mexican Tile, Wood",8
2512,21308200,715000.0,85718,-110.939594,32.343457,0.84,5286.81,1982,4,3,3253.0,2,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Mexican Tile",112
2513,21304257,670000.0,85718,-110.906403,32.332648,0.88,6000.0,1976,4,5,5017.0,2,"Dishwasher, Garbage Disposal, Refrigerator, Oven",3,"Mexican Tile, Wood",5
2514,21312144,683000.0,85718,-110.957059,32.317219,0.79,5812.58,1990,4,4,3518.0,3,"Dishwasher, Microwave, Oven",2,"Carpet, Ceramic Tile",50
2515,21315840,689000.0,85748,-110.747527,32.224401,3.41,5530.0,2003,4,3,3424.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile, Wood",54
2516,21308567,665000.0,85750,-110.863137,32.30013,0.77,4131.94,1992,6,4,4066.0,5,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile",30
2517,21305625,680000.0,85750,-110.813307,32.288877,1.2,7256.0,1997,4,4,3587.0,3,"Dishwasher, Refrigerator, Oven",3,"Carpet, Ceramic Tile",23
2518,21324523,650000.0,85718,-110.948178,32.298814,0.82,6265.43,2000,3,4,2949.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,Carpet,0
2519,21329764,614000.0,85646,-111.047356,31.600319,0.46,5157.34,2005,3,3,2950.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,Natural Stone,85
2520,21332203,650000.0,85718,-110.910188,32.321461,0.1,3507.54,1996,3,3,3359.0,2,"Dishwasher, Refrigerator, Microwave, Oven",2,Natural Stone,165
2521,21329638,675000.0,85719,-110.936006,32.238194,0.22,5889.0,2008,4,3,3528.0,2,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Concrete, Wood",0
2522,21702536,685000.0,85658,-111.054554,32.435222,1.0,9200.54,2014,4,4,3781.0,3,"Garbage Disposal, Microwave, Oven",0,"Carpet, Ceramic Tile, Wood",60
2523,21706108,660000.0,85755,-110.997814,32.430414,3.3,1985.08,2016,4,3,3589.0,4,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",0
2524,21709076,677000.0,85715,-110.863221,32.263892,0.65,5184.0,1957,5,4,3459.0,2,"Dishwasher, Garbage Disposal, Oven",2,"Ceramic Tile, Concrete, Mexican Tile",48
2525,21710639,600000.0,85718,-110.923386,32.304104,2.04,7528.09,1970,3,4,4002.0,4,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Mexican Tile, Wood",0
2526,21711479,685000.0,85750,-110.844897,32.30095,0.82,7187.62,1999,3,3,3002.0,2,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Concrete",25
2527,21700972,678200.0,85755,-110.968201,32.460667,0.86,8369.01,2004,4,3,3356.0,3,"Dishwasher, Double Sink, Garbage Disposal, Refrigerator, Appliance Color: Stainless, Countertops: limestone",2,"Carpet, Natural Stone",100
